vm,hour,n,mean,std,aic_lognorm,aic_norm,aic_gamma,aic_weibull_min,ksp_lognorm,ksp_norm,ksp_gamma,ksp_weibull_min,best_aic
745,3,360,0.653599537037037,0.21629521521188907,-134.55643701959687,-76.76422457808064,-121.23240214031557,-86.94495758079066,1.0271215823702086e-20,2.1430893316449084e-21,4.2159274169904296e-21,1.5227960553138142e-19,lognorm
745,4,355,0.652697853789403,0.21299510360809346,-141.74681190422874,-86.55877334226099,-128.70414917853356,-96.67566100359801,5.097303838760636e-19,4.852975908058135e-21,7.648621806234286e-20,1.5757843284467357e-19,lognorm
745,5,360,0.6559077380952381,0.21436529187950054,-134.72443254750874,-83.21735449470549,-123.21975454803092,-93.52717327956526,1.3307413914230279e-18,9.909304987919407e-21,1.8248872683054507e-19,3.1270180553200526e-19,lognorm
745,6,360,0.655448082010582,0.21960823659008313,-129.14940174954876,-65.81950131534953,-114.32238238047174,-75.92615061425995,9.959133865423199e-19,3.291519113323224e-20,2.7821125863359683e-19,3.9270316240553754e-18,lognorm
745,7,360,0.6922850529100529,0.4409078544264398,-7.392863388276169,436.0137958898465,85.5999849496032,249.05802030443868,2.893303522025784e-17,2.3866054842358278e-26,1.5901357905129343e-15,1.1293476892996167e-30,lognorm
745,8,360,0.8643931878306879,2.175252688487246,174.09937947173017,1585.1800261205917,549.8692068911382,618.5278611964482,1.2055405793666859e-14,9.258466249402416e-66,2.6354557538922156e-28,3.306138177894189e-50,lognorm
745,9,359,0.7019150417827298,0.6933071253191122,-9.295289460531222,759.8072503356549,143.83677408519765,341.7335602887018,3.0729483151003982e-15,1.1178013274306478e-40,1.3981060844986297e-14,1.0629386837220683e-39,lognorm
745,10,359,0.6598487863111819,0.2293430922267143,-111.6253052586805,-34.48310846626691,-93.18172173868643,-45.563018343743956,1.8082038701536823e-18,7.850838443295771e-20,3.656433284998063e-19,4.543675099754036e-17,lognorm
745,11,357,0.7129801920768308,0.8425226192805951,-0.7570410058609411,894.7748074242086,171.30101244303367,375.1917349479834,3.715893105817096e-16,2.845366928643764e-45,1.3747364528031348e-14,1.7553095075921567e-41,lognorm
745,12,354,0.7044511759818963,0.6316416889254765,-20.235564505347376,683.3299221011807,107.23205916585104,315.7442284224942,1.2246603888330333e-15,4.0858883668813606e-36,9.327890741784396e-13,5.9230902355385875e-36,lognorm
