trace,base,rho_cpu_net,r2_mu,r2_sigma,alpha,gamma
rnd,375.csv,0.8298915468646337,0.274170762538217,0.4119111412121204,0.0291920711449528,-22.09013850413208
rnd,64.csv,0.5791893597639911,0.2698826786312696,0.0919514420180565,0.0028305411219473,-1.801927258088286
rnd,341.csv,0.1013434684981156,0.8295892902189177,0.3708805662874663,0.1723391817939678,-0.0024143765061365
rnd,219.csv,0.5305952951527679,0.0076226811686691,0.0047356642738954,0.0025843002577984,0.0739857755991298
rnd,237.csv,0.19561074838894923,0.1457822221508007,0.2484648584862815,0.008129429786409,34.5912056566689
rnd,189.csv,0.4810517086768723,0.5364363251010601,0.2837566952484531,0.0946635676995318,-0.0478274433366293
rnd,8.csv,0.20925771757361403,0.102130698708493,0.1306346599807091,0.0447011109474676,-0.0133993099955208
rnd,12.csv,0.127789152185829,0.1434453877377557,0.1977569065365283,0.0201558564674142,-0.0053362733078752
rnd,440.csv,0.46571373689769235,0.9180828185873516,0.9720737507897976,0.0003668908291351,-19.04528880550214
rnd,46.csv,0.5136695793380108,0.214469425938232,0.2562186704449221,0.0010653457789315,0.2834110786429542
rnd,92.csv,0.07529876420275101,0.0789933789087283,0.4013324003958614,2.1570638293327944,-0.0035827768102056
rnd,122.csv,0.4201283595683292,0.6706516591147387,0.642865490783765,0.0169196502589141,-0.8333593492140493
rnd,63.csv,0.6036303702624335,0.0990522766373465,0.0012214456061937,0.0019224278255375,-0.1359796983924245
rnd,257.csv,0.6896842772138931,0.0374511481525728,0.0286550520455505,0.0198692956350179,-0.0220760230555421
rnd,65.csv,0.778035427426744,0.5008273453572045,0.3809599009189396,0.0058238939258064,-5.956158869715327
rnd,444.csv,0.019508837854438906,0.8260442706779231,0.0490395496701051,0.0004230657991435,-0.0005892381722001
