vm,hour,n,mean,std,aic_lognorm,aic_norm,aic_gamma,aic_weibull_min,ksp_lognorm,ksp_norm,ksp_gamma,ksp_weibull_min,best_aic
m_2147,17,2152,36.87732342007435,11.230054880225277,16314.399992567383,16520.73854091028,16329.534019468992,16543.985864141643,1.113788383018003e-05,2.1276376969781947e-11,1.8408994731849222e-07,7.839172152504331e-08,lognorm
m_2147,18,2284,34.84106830122592,11.229560295394892,16997.351926168303,17533.645854247792,17112.942847678536,17564.647819228023,9.318184731808162e-09,6.352417544627405e-24,1.8302567957816793e-13,1.4083289562775893e-20,lognorm
m_2147,19,2281,32.473914949583516,8.8293455231497,16034.58450700927,16413.60261860612,16108.768479013965,16572.551814221762,0.0002571729336324589,1.2243092843631318e-18,4.348132913425816e-08,2.0236943312160487e-17,lognorm
m_2147,20,2651,32.77706525839306,9.167687288401675,18599.85493829314,19274.774240056853,18734.842825729047,19573.264158795493,2.06241646902997e-08,1.3612330805061455e-30,3.313539632936151e-14,4.531233799916743e-36,lognorm
m_2147,21,2868,32.0139470013947,10.470311387151463,20597.40131274946,21614.278464414165,20824.716809198322,21726.488456125826,9.305435528269221e-10,6.161743929163621e-40,9.52601092381053e-18,4.2316844161506634e-38,lognorm
m_2147,22,2860,28.73916083916084,9.318479534466482,19699.990858890425,20887.36540870396,19991.034849477735,21027.62276877324,1.1118035591618837e-22,1.8825001733234056e-57,3.094908289538899e-33,3.2566610132888947e-56,lognorm
m_2147,23,2816,29.97265625,12.384765639000696,20460.84701015215,22168.204750311634,20912.032672038178,21891.709745800854,6.2958327511032e-38,7.679939148292345e-93,2.968674610433532e-55,9.916051391867624e-81,lognorm
m_2148,0,2823,27.545164718384697,9.945761365814766,20779.268036382215,20985.015911291608,20694.127771979234,20931.360081973173,1.852052841468385e-06,2.0599730241681744e-21,1.098034940953127e-05,2.347405636769452e-15,gamma
m_2148,1,2702,29.052923760177645,7.572629624569066,18733.88188110888,18612.560055477563,18628.280078275526,18657.454707762532,8.59782377579585e-15,0.00043747689370414136,2.632295330364635e-09,3.7411954515454104e-06,norm
m_2148,2,2862,27.224668064290707,7.156397460335324,19302.0918484274,19390.874551229637,19266.386863263953,19497.341287811003,6.414203634973839e-06,1.8399862930743606e-11,0.004535930863073138,1.276820286415432e-14,gamma
m_2148,3,2809,33.082591669633324,8.486179972627234,20091.282951906447,19989.346727254226,19983.480401375087,20088.457512605226,1.1483744811528869e-10,6.049812009528966e-06,7.56213856884174e-06,1.3944418395855152e-08,gamma
m_2148,4,2815,38.03268206039076,11.086692024830658,21309.93319059874,21536.97095133362,21310.647466844555,21608.203639329276,0.001930049871749085,3.183348688540888e-16,6.90735562965933e-05,1.6301765227155486e-15,lognorm
m_2148,5,2728,43.29032258064516,13.329020228353166,21877.856617012912,21876.461083756552,21759.68274619192,21932.597983376618,3.6616940970394875e-10,1.8925839345450845e-10,1.0869137337977124e-06,3.1450104379969013e-12,gamma
m_2148,6,2714,57.018054532056006,10.766499314541635,20449.668349457126,20605.311410028968,20475.13591726176,20831.90614615537,8.956131866026572e-08,6.873598152476848e-20,2.755212467030537e-11,5.53948224931893e-27,lognorm
m_2148,7,2673,47.221099887766556,9.207064943877711,19593.953428145294,19457.610995505853,19505.998645057196,19601.295860317616,1.8265947191621598e-14,7.216864850859683e-05,5.330727470860792e-10,5.4185474399558086e-11,norm
m_2148,8,2839,42.23353293413174,9.853491176417853,20844.886536754442,21051.008034636765,20866.15912261389,21253.782865368634,0.0010884258258856312,1.2080183335458e-16,5.023682799620151e-07,1.0931813352436902e-17,lognorm
m_2148,9,2856,41.7359943977591,8.719222376858584,20341.282933050104,20478.48458712701,20351.702143791066,20674.51840824997,0.0001183488840003159,5.113589775223657e-10,7.60527646989967e-06,2.70103815362136e-15,lognorm
m_2148,10,2837,36.984490659146985,9.97779200554701,21115.447558335774,21107.310226306152,21046.483913112257,21158.10272202362,1.6388222343427563e-09,3.0603777214818833e-07,7.023437947518534e-05,1.0038277532995184e-09,gamma
m_2148,11,2748,39.401382823871906,10.296624613782088,20357.903068758824,20618.147651660307,20378.143423145186,20795.18001481034,3.535583077097773e-09,5.080249757202109e-25,2.3842948821161795e-11,1.7836252929067393e-29,lognorm
m_2148,12,2804,34.93152639087018,9.839200272725057,20298.189019578193,20783.395123809074,20383.20924097266,20988.692404507703,8.344764222319556e-10,1.2088947757570736e-30,8.802487313031001e-16,2.6452799429715827e-26,lognorm
m_2148,13,2445,32.88343558282209,10.284297780344922,18046.19925166327,18339.33264384261,18061.005311134297,18404.58560331517,0.0006118391701422532,4.007452500376145e-09,0.006271207946595586,1.3560145048400607e-11,lognorm
m_2148,14,2833,30.186021884927637,9.675587937155575,20338.195480316594,20903.29335781777,20449.521713557893,20932.26217053424,2.4962264976478026e-09,9.508065751247112e-30,3.3253761243513437e-15,1.5016518581177208e-25,lognorm
m_2148,15,2534,26.76006314127861,8.07375527412609,17240.721218056693,17780.30011671064,17347.01365493257,17893.033401376444,1.8420439576474593e-09,1.2874532413404025e-31,8.455981296685858e-16,1.9935893240870425e-30,lognorm
m_2148,16,2492,25.930176565008026,8.970252486070216,16761.28285997278,18010.456145858334,17047.704514458354,18089.585326981047,5.967100999511463e-11,4.5184832553807416e-41,5.473456389220719e-18,1.5202068445874802e-63,lognorm
m_2148,17,2376,26.267676767676768,8.75551191414219,16786.562782428457,17057.13159333537,16804.932432099507,17029.549177859742,0.0011005053947880815,2.953441836197496e-16,2.191500571862267e-06,5.115608312394414e-13,lognorm
m_2148,18,2398,24.924520433694745,8.582993692955792,16511.782790039848,17119.587360126832,16629.860192837998,17113.699334157915,3.3068137328308984e-07,1.0387114189310384e-24,6.480016182703934e-11,3.78939129458457e-21,lognorm
m_2148,19,2514,23.712808273667463,8.021962880373621,17331.852544660826,17607.639773419818,17316.747070220375,17611.885906831747,6.1124318707291005e-06,1.4073945861677075e-15,0.0003012423263670375,2.56142364288673e-15,gamma
m_2148,20,2343,24.000426803243705,7.283040583589347,15634.373895760491,15957.42594515701,15673.410534768238,16017.696991724972,0.00035729515684528235,1.5540514343395546e-20,1.999595579190536e-08,1.0553985239868348e-18,lognorm
m_2148,21,2530,24.638339920948617,7.718108705325454,16969.372736308498,17524.289877204683,17067.575938722868,17631.791652145857,1.793605077323638e-06,1.4569892754475631e-28,4.078363455664814e-12,8.098869758782005e-24,lognorm
m_2148,22,2865,20.32216404886562,7.3848021518017335,18638.496830856384,19591.21803194995,18842.998566955073,19525.01311784044,1.7125858631704108e-14,8.873243899786282e-49,9.452671572921759e-24,5.7419766589748885e-40,lognorm
m_2148,23,2747,20.239170003640336,9.600120306771194,18054.860017136918,20225.84361457266,18588.158359282974,19675.975967803162,7.030386646244578e-24,1.3158588965427755e-81,1.0928119193358717e-37,5.124279793303725e-85,lognorm
m_2149,0,2848,8.178370786516854,1.0327141275585088,7959.932159396304,8269.63047084408,8047.288749487063,9068.130288371627,1.3470509673509247e-148,6.453320721785943e-175,1.2435266060654588e-157,4.868866053353892e-165,lognorm
m_2149,1,2542,7.3528717545239966,0.8350301718854699,6019.18624705048,6301.302255518616,6099.966222070769,7167.506432259289,1.737727970018302e-263,3.2560904042089526e-277,8.248004280070858e-269,8.278242089763793e-214,lognorm
m_2149,2,2214,7.037037037037037,0.8603908071306985,5441.384345248054,5621.227814520796,5491.051000115778,6124.472241654334,1.4534902082365692e-135,3.3618129234621494e-161,4.5197319194979875e-144,3.8221790090351014e-177,lognorm
m_2149,3,2448,6.818218954248366,0.8508231871839689,5926.501698821241,6160.169643415861,5994.978570299385,6686.506887279089,2.5981835734700307e-143,1.6498926704278703e-131,1.2831971336389495e-139,3.982044152909925e-154,lognorm
m_2149,4,2298,6.588337684943429,0.8309105206215551,5330.616867367488,5674.109864578293,5436.245617748382,6337.537771257191,3.4503581018679447e-258,2.6763037994546315e-247,5.251640221165999e-255,5.836702597938455e-176,lognorm
m_2149,5,2500,6.6512,0.8177643670397972,5786.261999846239,6092.787447372624,5879.9894648571735,6723.110769566626,3.343724682575187e-241,3.32712081584243e-229,1.5449752400779131e-237,8.092178261694903e-162,lognorm
m_2149,6,2332,7.2182675814751285,0.7664440291638898,5200.894060816371,5381.33514678339,5251.19765859289,6012.401275221522,5.687873525717306e-240,7.615223012707265e-262,1.2232969595792789e-247,1.9010299417876548e-246,lognorm
m_2149,7,2649,8.065307663269158,0.9141523445068231,6869.038263604096,7045.998239616251,6918.625338070431,7590.4530355343995,1.4008959377513828e-128,1.8488088397515852e-153,8.034282730864038e-137,2.040343454215338e-174,lognorm
m_2149,8,2348,10.807495741056218,1.4284449191760427,8272.656866218964,8341.865008566187,8284.213087206594,8613.552596298643,3.664352333847325e-53,1.163850895662952e-62,1.5989986216435517e-56,1.7336040205214183e-60,lognorm
m_2149,9,2491,13.362505018065034,1.6095931261000802,9583.763631595926,9444.491258429873,9526.916595192617,9405.243269824303,1.6881713794481762e-97,6.0526904787278e-85,1.4721363909710494e-93,5.005179231063507e-56,weibull_min
m_2149,10,2646,14.136432350718065,1.7504721230533322,10659.442492044396,10475.936975035538,10586.519170895532,10385.675974265727,8.769763477453277e-110,8.122455539919159e-85,2.870006226741053e-101,3.7023458685721463e-53,weibull_min
m_2149,11,2847,13.846153846153847,1.7009073576609222,11248.029318294073,11107.871573280006,11187.572435154478,11161.737431490948,1.0794322323930373e-96,3.7546203092897603e-75,1.882191363435545e-89,1.1338159242051032e-48,norm
m_2149,12,2620,11.754198473282443,1.229985386991004,8368.67440887044,8523.929907402126,8410.734701468202,9157.118609459829,1.4889910885644196e-87,2.662656850157681e-92,1.943438240370607e-89,3.525518156247525e-109,lognorm
m_2149,13,2730,12.522344322344322,1.3324819162999169,9306.867883425566,9318.660840466873,9300.902225402535,9643.521715007915,2.588693037118337e-61,9.249863396161214e-54,2.824289381823464e-57,9.062645341220934e-80,gamma
m_2149,14,2793,14.027926960257787,1.6811566714805888,11000.609503319763,10832.01738582619,10931.608597869948,10863.37649921673,1.4163051444592062e-138,2.470360538374844e-111,2.2423799142672953e-129,2.6095102378025937e-79,norm
m_2149,15,2378,14.064760302775442,1.80505165739348,9664.307250036887,9561.313948725963,9617.67819766789,9680.409363909566,7.606512147057259e-90,1.6891754000903726e-68,1.6016810929928386e-82,2.499876685257461e-50,norm
m_2149,16,2230,13.948878923766816,1.796630153678648,9048.463737775,8945.636827539123,9004.72176982087,8914.214191433028,7.044514655766724e-75,1.4126263777042066e-56,1.2320870608548375e-68,1.3335693032294017e-32,weibull_min
m_2149,17,2438,13.567678424938475,1.7328005209960118,9710.270472780609,9603.27115422085,9663.066110397434,9650.194349730973,2.303082435942119e-90,3.145682545998361e-73,9.50759873278326e-85,1.5916392427741127e-46,norm
m_2149,18,2510,11.976494023904383,1.445368085765955,8846.994560119434,8976.258815882331,8878.403105466168,9438.162389786099,2.5685366926834496e-56,1.7431537912577183e-74,3.876649578461449e-62,3.833431797136869e-94,lognorm
m_2149,19,2493,11.120738066586442,1.0264566497879466,7081.062052718502,7209.025575885932,7115.905381956147,7860.104086213885,8.491425302525587e-124,2.9073373376210386e-142,5.775399487814235e-130,1.8006993056233945e-151,lognorm
m_2149,20,2636,11.320561456752655,1.0083350602449932,7404.381375671033,7528.404264522676,7438.883057163761,8154.805261991317,2.6362299297187743e-132,6.928041695232864e-147,2.609586483397189e-137,2.7156751498000147e-140,lognorm
m_2149,21,2856,11.163865546218487,0.9495891276409737,7688.116835495249,7813.5186456227375,7722.934006516423,8508.385680656163,3.5698412065685205e-155,1.3749941211358005e-174,1.0767654920316283e-161,4.26992636701282e-185,lognorm
m_2149,22,2851,10.649596632760435,0.9975323879476022,7913.288437810968,8080.699803748286,7959.130692966008,8973.3034148273,9.390716274415899e-129,6.02561277244714e-132,3.3731814998641477e-130,2.1966416815446835e-138,lognorm
m_2149,23,2830,9.450530035335689,0.9563945481773676,7642.788370486311,7782.842448186285,7680.549381839635,8365.584531022356,2.0928610465546275e-159,5.293600342874554e-173,3.07220694132158e-164,1.9729144790057015e-153,lognorm
m_2150,0,2557,31.01251466562378,10.500304473129898,18784.62748937568,19285.53301470569,18852.197869649528,19293.11286574002,0.0006024892974428611,2.7527663169571058e-24,2.031051110900551e-08,1.733324535793552e-22,lognorm
m_2150,1,2848,33.29810393258427,13.496096888967159,21598.902083257846,22909.54727157831,21878.976713376123,22692.6765088778,3.2681864454851603e-09,1.6740113983478363e-48,5.7922126462281014e-18,2.9696286590403833e-42,lognorm
m_2150,2,2533,32.96723253059613,8.947808495122848,18048.630341451106,18294.018786665387,18044.71299595811,18505.29818640153,1.7217399754255674e-06,1.6293350965429497e-17,8.498199650466873e-07,1.941857825127774e-20,gamma
m_2150,3,2183,37.53321117727897,8.907920633804604,15522.256949547007,15747.269342599364,15549.512640833991,15987.541947302345,0.0034530745309721035,1.6363114754012944e-09,0.003503079333359842,3.46592186672907e-14,lognorm
