trace,vm,n_bins,gamma,r2_sigma,rho_cpu_net,rho_lam_sigma,rho_lam_sb,rho_lam_sw,med_frac_between,frac_between_hi,frac_between_lo,bimodal_share,bimodal_hi,bimodal_lo,rho_lam_frac90,max_frac90,max_p95,rho_lam_skew,med_skew_hi,mean_io,mean_net,mean_sigma
rnd,130.csv,24,-1.303989893418097,0.7496853823633312,,0.6408695652173912,0.677391304347826,0.7965217391304347,0.5475425436308731,0.30250475195867993,0.7285778620904269,0.5416666666666666,0.0,1.0,,0.0,3.7533333333333343,0.6321739130434781,7.328256090511857,11.937761333996809,4.145502247600198,0.08191969818192996
rnd,111.csv,24,-0.944881304571395,0.9616517172672456,0.5764436193229129,0.9686956521739128,0.6991304347826087,0.9686956521739128,0.22927015999405834,0.16871176571835578,0.3475501778285187,0.08333333333333333,0.0,0.25,,0.0,2.25,-0.23217391304347823,5.266508987036723,10.543762684139644,4.826478107600045,0.20358244793664976
rnd,367.csv,24,-11.56830043064735,0.8956804311655817,,0.6695652173913044,0.6182608695652172,0.0608695652173913,0.7613464411048605,0.8196696726016484,0.7356123155328926,0.8333333333333334,1.0,0.625,,0.0,55.248333333333335,-0.7547826086956521,0.01879224973247659,1.8619957498644142,1733.4904195552917,1.9495771044580499
rnd,433.csv,24,-0.7847140763983668,0.7570015141538052,0.1095470808502342,0.4991304347826086,0.3504347826086956,0.4669565217391304,0.2856091859658028,0.2485453855685683,0.30353974548482976,0.875,0.875,1.0,,0.0,3.1333333333333333,0.45826086956521733,-1.57348304575412,1.163397800835921,14.561151158102392,0.37968332894635093
rnd,339.csv,24,-0.0037940200240469,0.5342952396941718,0.1236238999667195,0.6582608695652173,0.64,0.49217391304347824,0.3226490324949443,0.37183161550732946,0.2668064204552893,1.0,1.0,1.0,,0.0,2.870000000000001,-0.03130434782608695,2.134702930167699,10.340324152182054,0.030951359460629685,0.23576417237298808
rnd,347.csv,24,-4.14901915908755,0.642298294865945,,0.9652173913043477,0.8217391304347826,0.551304347826087,0.14062568818147209,0.4884324732732253,0.07731487930775884,0.375,0.375,0.625,,0.0,28.89333333333332,0.8704347826086956,2.6119806192402573,0.08974330437984868,182.43557547190622,0.5335511727977951
rnd,19.csv,24,-1.1274254134279484,0.758221593367084,0.4618231909139701,0.82,0.7539130434782607,-0.37913043478260866,0.7465484591741014,0.8058670297621227,0.6750074177272318,0.5416666666666666,0.75,0.5,,0.0,2.2,0.697391304347826,1.3900645747947227,1.3990873218441668,32.455211576378396,0.9997101910325961
rnd,387.csv,24,-9.748112281906904,0.550107594906019,0.4401669855602453,0.5930434782608696,0.508695652173913,0.6191304347826087,0.20285414408021357,0.18789164572632056,0.20154303205836363,0.9583333333333334,0.875,1.0,0.19579704781213397,0.002785515320334262,8.226666666666665,0.3852173913043478,2.002320769901527,341.34696574398026,26.393591836500335,0.242288307503273
rnd,434.csv,24,-0.8226813704326275,0.5688572343090014,0.0942520876541123,0.4130434782608695,0.537391304347826,0.31130434782608696,0.27643869379754116,0.2899416954827491,0.27643869379754116,0.9166666666666666,0.875,1.0,,0.0,4.825714285714286,0.4156521739130434,0.041456765729725176,1.152165768496481,19.948560094418607,0.4049037659598237
rnd,241.csv,24,-29.889895904874123,0.8445235343071372,,0.28086956521739126,-0.08608695652173912,0.3313043478260869,0.8319777428196354,0.8126379620563331,0.8297642590239622,0.625,0.75,0.375,,0.0,5.07,-0.01652173913043478,1.343501169612508,870.2595807872743,83.53909507602825,0.12734290443852342
