hour,n,lam,io,sigma,sig_between,sig_within,frac_between,bimodal,gmm_sep,skew,frac90,p95,trace,vm
20,360,1.2618013468013467,927.472788245705,0.3738711594079375,0.05883776804952961,0.3692123520252068,0.024766717484888897,True,0.8017919996226661,2.7636510150961096,0.0,12.133333333333333,fastStorage,879.csv
21,360,0.6611111111111111,659.1045855070855,0.10709198455599073,0.08185481675360665,0.06905419705111371,0.5842174809759474,True,0.13530858276251734,1.2259775397067627,0.0,4.303333333333334,fastStorage,879.csv
22,360,0.6768849206349207,654.8295358499525,0.11553727407246633,0.06975753257042137,0.09210183684261034,0.3645339550021955,True,0.16005945254025322,1.8196649589728024,0.0,4.301666666666667,fastStorage,879.csv
23,359,18.162567979838176,1162.3458895793158,0.45360609549210185,0.14774297204843134,0.4288711975382425,0.10608546847204392,True,0.9716507856768322,4.01331639491743,0.0,8.836666666666666,fastStorage,879.csv
0,276,0.4884575569358178,0.21769323671497584,0.11767369112588222,0.02734495073037424,0.11445239732195625,0.054000221053859244,True,0.18561569800674216,0.2148402586746204,0.0,1.0666666666666669,fastStorage,1057.csv
1,276,0.23630089717046238,0.21437198067632846,0.1279744473040283,0.03149921646472679,0.1240373271434039,0.06058330709485999,False,0.17235259918567386,-0.948636790162658,0.0,1.0666666666666669,fastStorage,1057.csv
2,276,0.22217046238785365,0.21456176673567973,0.11414852646218947,0.014250827889054662,0.1132554634353933,0.01558617581660496,True,0.1890855443253186,0.02408227183886883,0.0,1.0666666666666669,fastStorage,1057.csv
3,276,0.2159420289855072,0.2149413388543823,0.11466269273713416,0.011169754836276977,0.11411735048899402,0.009489492979344843,True,0.20056140827190805,0.14122465749424326,0.0,1.0666666666666669,fastStorage,1057.csv
4,268,0.23196517412935314,0.21979388770433544,0.11882557527103943,0.015325043642915521,0.1178331887705505,0.01663349794663197,True,0.20321979545013696,0.2030425852726587,0.0,1.0666666666666669,fastStorage,1057.csv
5,276,0.2580745341614906,0.21840924775707382,0.12038870352750913,0.013792889038137341,0.11959597045476124,0.01312619977347456,True,0.20759156883352686,0.09916214700229352,0.0,1.0666666666666669,fastStorage,1057.csv
6,276,0.2189958592132505,0.21699447895100066,0.12421674126645149,0.01906498945907963,0.1227449591135283,0.023556614543740764,True,0.2009319718088715,0.15848221366820792,0.0,1.0666666666666669,fastStorage,1057.csv
7,276,0.2420807453416148,0.21606280193236713,0.1216881683677718,0.01713703591123319,0.12047544281255114,0.01983237406394179,True,0.20952304665381882,0.11296292052489156,0.0,1.0666666666666669,fastStorage,1057.csv
8,276,13.325103519668737,0.2141994478951,0.2295699261112271,0.09442274398249781,0.2092527094054697,0.16916995952347383,False,0.7250045780580839,4.657776396339043,0.0,1.0666666666666669,fastStorage,1057.csv
9,273,0.3856619570905285,0.21671027385313096,0.1758832359251058,0.03344199185914968,0.1726746821626697,0.03615225396285166,False,1.2742391545924274,-4.916712140418097,0.0,1.0666666666666669,fastStorage,1057.csv
10,274,51.08001390337158,0.2147549530761209,0.2808416035946985,0.09735330409991849,0.26342805562519445,0.12016514176098246,True,0.22939943933768794,9.761442495524355,0.0,1.0666666666666669,fastStorage,1057.csv
