vm,n_bins,lam_min,lam_max,alpha_mu,beta_mu,r2_mu,gammaA,deltaA,r2A,alpha_sig,sigma_eps,r2B
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/1184.csv,24,0.01896713615023474,0.9198148148148148,0.011899253401348644,-0.040281550832958896,0.022073130050754064,-0.0005850179932020998,0.23583324115955817,0.0008929729725845048,0.11587508570301286,0.2304772507148224,0.039524649272970946
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/709.csv,24,1.991111111111111,10.757288765088209,0.13354499655178428,0.044240953115892497,0.2790536935326158,-1.2864536208407855,3.1965746778286954,0.516229693535691,0.5210150037352025,2.30798546920361,0.37850595433220935
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/546.csv,24,13.030181086519116,15.05186806384578,0.09137249782107473,-0.5403085936184338,0.8193143698213415,1.8826526887127468,-0.167961100701652,0.16311581922872398,6.55668528918252e-10,0.33261033714004146,-8.881784197001252e-16
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/556.csv,24,0.0034383954154727785,19.586514719848058,-3.538853466430351e-05,0.41675015549416705,4.480115140537144e-06,-0.008965763700284875,1.088774277642606,0.3264459713005612,0.11369721375279045,1.0362186922127952,0.13407610478491905
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/528.csv,24,2.606111111111111,3.8806172839506177,0.022490581062011076,0.16519634474536693,0.3570075925943582,0.127999898587637,0.08965964748081302,0.06031819193890353,2.005959982378074e-09,0.160407406963983,-2.220446049250313e-16
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/26.csv,24,0.18204821677625022,58.97679351216468,0.0013723335837092616,-1.750063935289958,0.10581917819722908,-0.045070013382869395,0.5535004215583142,0.07535871116273907,0.03939022953002893,0.4712213039569523,0.024737523206830647
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/113.csv,24,2.793586005830904,455.60527749404156,0.0003887771130801816,0.20447921534307864,0.8155291041215097,-0.6508837640924372,0.48009922057760557,0.6645154325985025,0.029722380425457162,0.12569678853119307,0.936225985482702
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/997.csv,24,250.12370370370368,409.639074074074,0.0017778043564653245,3.3137974794512415,0.7098297397702233,-0.6202137274015649,0.22916724751547535,0.03059470322427671,0.00430981150173921,0.17807339198613265,0.021341572197574266
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/189.csv,24,0.15412008281573497,738.3490842490842,0.0007785453723114409,1.3451067840705169,0.14747155929720623,-0.03149680270342011,2.470210112876767,0.02991605267164288,5.674877665850939e-10,2.462165239963912,-2.220446049250313e-16
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/858.csv,24,6.527473544973544,14.476646825396827,0.00721223361647978,0.6289181316208415,0.17939023578234814,0.09925255594050068,0.6047714561283939,0.009499400525214696,2.5791919285283073e-10,0.6352318183768442,0.0
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/725.csv,24,0.026930772308923552,9.745673323092678,-0.038755629125827834,-0.22306724411343815,0.6771238695426756,-0.0034710913695435272,1.183783470078662,0.006628838728094832,0.09465021636431925,1.1661848546894118,0.03705466679939129
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/370.csv,24,23.2453373015873,172.455462962963,0.0001998809937715077,0.6165617534651037,0.022717110305145227,-0.16711408913871276,0.26452255767240174,0.00326092696576874,0.009883356089856724,0.22632528665290558,0.004271710017187402
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/90.csv,24,0.0361111111111111,0.7343253968253968,-0.1543466382596084,-0.957882782059087,0.016484381275760795,-0.0045931963465507515,0.6156994386555288,0.029258357955225023,0.223198226760631,0.5916423473798741,0.06155715216177193
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/278.csv,24,34.30412870711378,343.373546856465,0.0030876967534928753,0.17451290743706327,0.6977878036748981,-4.2419549088047575,2.465487066251787,0.6139875906467661,0.07004226371119292,1.8911872022692,0.5109464977358144
