method,param,share_at_target,mean_coverage,median_headroom,median_ceiling
rolling_max,1.0,0.7559087204563977,0.9470513821658726,0.19913903485780385,4.0
rolling_max,1.05,0.8810105949470253,0.9834697628035273,0.259095986600694,4.2
rolling_max,1.1,0.9079054604726976,0.98513136346876,0.3190529383435844,4.4
rolling_max,1.15,0.9182966585167074,0.9863608402886652,0.3790098900864743,4.6
rolling_max,1.2,0.9266503667481663,0.9874486772196605,0.4389668418293645,4.8
rolling_max,1.25,0.9325590872045639,0.9884849998746217,0.4989237935722548,5.0
rolling_max,1.3,0.9382640586797066,0.9893486772412188,0.558880745315145,5.2
rolling_max,1.35,0.9423390383048085,0.9900633985596927,0.6188376970580353,5.4
rolling_max,1.4,0.9447840260798696,0.990664974492125,0.6787946488009253,5.6
rolling_max,1.45,0.9484515077424613,0.9910569734966629,0.7387516005438155,5.8
rolling_max,1.5,0.9523227383863081,0.9914531343516787,0.7987085522867057,6.0
rolling_max,1.55,0.9531377343113284,0.9916729187747765,0.8586655040295961,6.2
rolling_max,1.6,0.9555827220863896,0.9919088963963437,0.9186224557724862,6.4
rolling_max,1.65,0.9582314588427058,0.9921907831443484,0.9785794075153764,6.6
rolling_max,1.7,0.9592502037489813,0.9923667895949887,1.0385363592582664,6.8
rolling_max,1.75,0.9602689486552567,0.9925907187017218,1.0984933110011568,7.0
rolling_max,1.8,0.9623064384678076,0.9928211906484442,1.1584502627440472,7.2
rolling_max,1.85,0.9639364303178484,0.9930814737193361,1.2184072144869371,7.4
rolling_max,1.9,0.9659739201303994,0.9932857028962776,1.2783641662298273,7.6
rolling_max,1.95,0.9669926650366748,0.9934998293260221,1.3383211179727175,7.8
rolling_max,2.0,0.9684189079054605,0.993755411804041,1.3982780697156076,8.0
rolling_max,2.05,0.9700488997555012,0.9939412182510333,1.4582350214584976,8.2
rolling_max,2.1,0.9708638956805216,0.9941323879248003,1.518191973201388,8.4
rolling_max,2.15,0.9710676446617766,0.9942813380983845,1.5781489249442782,8.6
rolling_max,2.2,0.9720863895680522,0.9944392840464263,1.638105876687169,8.8
empirical,0.8,0.23573757131214343,0.8176476264518935,-0.13843248623904547,1.769999921321869
empirical,0.82848,0.2593724531377343,0.8366015455524167,-0.11469168698185911,1.8391581773757935
empirical,0.85291,0.2823960880195599,0.8531320027047926,-0.09661250546232841,1.8958981037139893
empirical,0.87385,0.30664221678891607,0.8675034488043438,-0.08004752693184582,1.9658123254776
empirical,0.89182,0.33088834555827223,0.8808932415435297,-0.06391146180800222,2.0
empirical,0.90722,0.3533007334963325,0.8923575798467736,-0.051490500771256054,2.0166666507720947
empirical,0.92044,0.38141809290953543,0.901329567287245,-0.034981855581121137,2.0680524110794067
empirical,0.93177,0.4060717196414018,0.9101888356738006,-0.020316242398288227,2.0999999046325684
empirical,0.94148,0.42705786471067647,0.9178737245248231,-0.012566608580156602,2.133333444595337
empirical,0.94982,0.4482477587612062,0.9240746860564212,-0.0036523020852240384,2.1968801021575928
empirical,0.95696,0.4702526487367563,0.9315883302782322,0.0,2.2166666984558105
empirical,0.96309,0.49490627546862265,0.9387214631353697,1.4901161138336505e-08,2.273447036743164
empirical,0.96835,0.5165036674816625,0.9435397579734734,1.4901161138336505e-08,2.3194295167922974
empirical,0.97286,0.5342298288508558,0.9479041241157914,1.4901161138336505e-08,2.3723894357681274
empirical,0.97672,0.5537897310513448,0.9516978856982964,5.2154063984177754e-08,2.435021758079529
empirical,0.98004,0.5735533822330888,0.9546267551212286,0.001997068524360462,2.5333333015441895
empirical,0.98288,0.5908720456397718,0.9569367762735906,0.012011393904685919,2.5709136724472046
empirical,0.98532,0.6059494702526488,0.959377660341154,0.024540760042604918,2.6186933517456055
empirical,0.98741,0.6285656071719642,0.9623269066600052,0.03822310594409042,2.7107906341552734
empirical,0.9892,0.6393643031784841,0.9641284807837988,0.05190028073971069,2.7785797119140625
empirical,0.99074,0.6603504482477588,0.9669387894884431,0.06460262179155106,2.8780791759490967
empirical,0.99206,0.6752241238793806,0.9683014505078894,0.07398559123449305,2.9427478313446045
empirical,0.99319,0.6886715566422168,0.9695049054367401,0.08639089883011028,3.0
