vm,n_bins,alpha_mu,r2B,r2C,r2P,aiccB,aiccC,aiccP,alpha_B,alpha_C,c_C,c_P,lam_min,lam_max,lam_gmean
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/315.csv,24,0.0158475828634026,0.6153215519219792,0.6362697734792786,0.635946632118046,-148.66142956380736,-147.3767460213747,-149.98400508940685,0.11305694238247697,1.5373911042864748e-08,0.03244832629659601,0.032140740272400166,0.761135429102003,11.870039682539684,0.9142198054729967
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/111.csv,24,0.0160764059489162,0.6463190290431577,0.9040071682459133,0.900649531695549,-147.5917270556612,-176.2620782357321,-178.06552574705992,0.09307729307729677,1.54163303102644e-09,0.041232964735124965,0.04064064761754697,2.56169253216607,7.933840388007055,4.612577816219887
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/367.csv,24,0.0008090576948689,0.5900111496147319,0.5900111496218066,0.33155041432625965,-74.38661171753976,-71.75804028938248,-62.65466737070889,0.031140889274550446,0.031141077348939544,4.004792535187006e-14,0.0004638572582839211,61.390864197530846,3477.495568400771,1310.6673421190374
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/433.csv,24,0.0022934710710832,0.7963888346072048,0.7963888346072372,0.5988613503503047,-125.25802942248096,-122.62945799391336,-108.98374932045881,0.06581145906884721,0.06581145638753075,1.776178999694115e-14,0.004085759210083515,2.253385416666667,219.8331154684096,4.16550844932259
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/65.csv,24,0.0058238939258064,0.3384931257307632,0.33849312573076995,0.2807660504817946,-103.52857330173507,-100.90000187316387,-101.52058183391854,0.07900006620744833,0.07900006426242533,1.124639582338479e-11,0.003932326917560394,80.33626373626375,284.9251322751323,168.46295285494327
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/434.csv,24,0.0021994836194115,0.8754536100945237,0.875453610094602,0.6982734855563169,-130.1855882109837,-127.55701678242737,-108.9493617408109,0.06608940967589293,0.06608940248038474,2.58135025261912e-13,0.0037395629310414723,2.4893406593406593,285.6044486215539,5.9976359929828185
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/432.csv,24,0.0020814083665627,0.926780894175367,0.9267808941754051,0.7858140666971538,-140.5316227124848,-137.90305128392583,-114.77030856308171,0.0674009449607832,0.06740093869087617,1.1467411555970577e-12,0.004008321340815824,1.6960829493087555,283.8228811021264,3.441527703521312
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/247.csv,24,0.0503708859451194,0.4257773488397052,0.42577734883981044,0.38460014400876896,-130.1516464320162,-127.5230750034492,-128.48952610168263,0.2663877777252776,0.26638787475448217,3.6225056309013302e-12,0.09342001659139373,2.0324074074074074,5.799761241543971,2.4155235896194003
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/317.csv,24,0.0019685245148994,0.8009714935601004,0.8404688788770966,0.8355900641428142,-106.93148323371337,-109.61192883611005,-111.51752671428416,0.055100850114375585,0.028475680883146705,0.004184114351564715,0.004803863906114913,1.5558862433862433,190.89656084656082,14.094484333245545
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/207.csv,24,0.0008254414200853,0.9806577192821587,0.9806577192823664,0.8429029786881124,-157.32300861812357,-154.6944371898098,-107.05332444089942,0.03942477534724766,0.039424783583905616,1.965126106068528e-14,0.0013157749027339885,8.098703703703704,948.3581481481482,248.0053700264982
