m,lam,ncont,mu,sig,meancpu,dec
m_3486,9600.0,24,3.7325447191034797,0.271137566686067,43.346735128850995,2
m_3494,13600.0,34,3.8332167019704984,0.2514408936252799,47.67028533000288,8
m_3498,9600.0,19,3.865702149627575,0.2221232023039584,48.89407451446691,2
m_3513,9200.0,22,3.792336970605724,0.26429782009108554,45.9005150994849,1
m_3516,12800.0,30,3.5686055089873006,0.3461600791573742,37.64275111331024,7
m_3519,10000.0,14,3.723983483319353,0.33103090866253077,43.76449168388938,3
m_3524,9600.0,15,0.18229028803650754,1.7385706963699232,7.929083168933651,2
m_3528,9200.0,19,3.7144464416286502,0.2916527956742167,42.79339006530774,1
m_3531,12800.0,31,3.675269900806371,0.288247741159603,41.11923411662315,7
m_3533,12400.0,29,3.746254729193929,0.3237041695607993,44.68588283999172,6
m_3549,9600.0,20,3.8029795920830893,0.28071538984791466,46.62424935659136,2
m_3557,12100.0,28,3.7412859093107182,0.28096995964519866,43.83559488692232,6
m_3558,10400.0,14,3.6182510861633754,0.3405288112136181,39.46436414453983,4
m_3560,13200.0,26,3.562776781947606,0.3540281956098083,37.51637554585153,7
m_3561,9200.0,22,3.828821144881722,0.24750111482279577,47.40929563967418,1
m_3565,9200.0,16,3.5920847797791895,0.3381536503331099,38.43572751193841,1
m_3590,9200.0,12,3.8424479197061605,0.2788759553791574,48.383719792583896,1
m_3598,9200.0,17,3.5866927586691406,0.34011582631495424,38.220599842146804,1
m_3616,9200.0,15,3.6222460338582585,0.3084937488702772,39.23471074380165,1
m_3617,13600.0,34,3.4815462495168075,0.383081142356657,34.95113723978412,8
m_3619,12400.0,26,3.692929714145304,0.29385970334121314,41.91432007215152,6
m_3626,10400.0,25,3.671134285553751,0.31392758771900753,41.256103398755386,4
m_3632,12000.0,15,3.6383691176325526,0.29322582384955304,39.693577075098815,6
m_3634,9600.0,21,3.8034090736999007,0.25306079812319365,46.29074513526341,2
m_3635,12800.0,28,3.7324611894872026,0.2801846545727689,43.44271255060729,7
m_3642,9200.0,20,3.6891530855762324,0.28539861714148923,41.66092995169082,1
m_3643,13600.0,32,3.6513674814251447,0.296459082898873,40.244267198404785,8
m_3647,10000.0,17,3.747823075450017,0.28298810641938227,44.13952561291609,3
m_3665,13200.0,32,3.546395525453842,0.3980815654787173,37.501304221814316,7
m_3674,9200.0,16,3.6790228799155584,0.3082468530347834,41.537563254184505,1
m_3677,9600.0,15,3.5329234031366554,0.33897291799028495,36.25048003072197,2
m_3681,12500.0,28,3.67748365897033,0.30325118453596606,41.385569548338225,7
m_3687,9600.0,23,3.7740975849556375,0.2570184703974769,44.99932969453222,2
m_3693,9600.0,21,3.782462660506628,0.2575505484115608,45.3908249655444,2
m_3700,4400.0,10,3.3120968516004905,0.42777730400421915,29.97098892482603,0
m_3719,3600.0,9,3.435755811271299,0.37312764296818973,33.24738008867392,0
m_3727,9600.0,19,3.953238752311917,0.19525265267886735,53.06254848719938,2
m_3728,9200.0,15,3.663959842087978,0.36291877176136994,41.72969780490206,1
m_3733,9200.0,23,3.8229619173457956,0.24039807811004738,47.06294999027048,1
m_3736,10400.0,19,3.68768585594411,0.31353758453520847,41.974015669939504,4
m_3741,9600.0,14,0.18108611584378057,1.7555538876982353,8.530467788264259,2
m_3755,10000.0,13,3.5540164568079864,0.35936775022937395,37.333016627078386,3
m_3760,10400.0,19,4.0247633407160865,0.1667250539966171,56.72547483845702,4
m_3766,10400.0,22,3.512763220255088,0.3498398113603289,35.63703412331596,4
m_3775,13600.0,32,3.491500496840468,0.4521504100416023,36.18655625913298,8
m_3779,4000.0,10,3.463742580783655,0.3455064969422309,33.86904528523819,0
m_3784,10000.0,24,3.7853574370860206,0.2572658238806755,45.51388756323375,3
m_3786,13200.0,31,3.732424326262112,0.34625040472392826,44.37010131905945,7
m_3787,12400.0,30,3.6862892492889947,0.3185249942652155,41.95775737071049,6
m_3789,9200.0,23,3.74892966512141,0.28302139925461156,44.15112603713947,1
m_3802,9200.0,15,3.69187971311719,0.29765116438584216,41.93251355538342,1
m_3806,12000.0,14,3.4247890800092686,0.3868743423197365,33.07525410476935,6
m_3811,12800.0,32,3.576766030917994,0.3270126099297003,37.73154034229829,7
m_3815,9600.0,15,3.5590257693781657,0.32839603447419635,37.048899512000794,2
m_3821,10000.0,21,3.760070088565348,0.2554439777754946,44.36061483181954,3
m_3825,10000.0,16,3.6186663849805116,0.32384163308841835,39.25507944150217,3
m_3831,9600.0,20,3.481356942465257,0.375530111637082,34.87618864662376,2
m_3834,4400.0,10,3.4204583165012927,0.3890646424398145,32.930343884329815,0
m_3854,9600.0,14,0.18902682833115467,1.751224366728575,8.15476661392405,2
m_3861,10000.0,19,3.5294846490298717,0.35169878909615837,36.2738299807945,3
m_3870,12800.0,30,3.7296188991672277,0.2828676220490552,43.35957363583024,7
m_3873,13200.0,33,3.7493235161026726,0.26243848491031,43.96972850250686,7
m_3876,4000.0,9,3.553837087955012,0.3936542397908931,37.79992460654038,0
m_3880,9200.0,16,3.6328395339937085,0.36783972326724534,40.5391380826737,1
m_3887,11600.0,16,3.669164794330447,0.29941950605707485,41.00019225223493,5
m_3895,12000.0,18,3.741938744362565,0.2942409398014818,44.03977834949535,6
m_3898,10000.0,18,3.782027991938648,0.2556758879576802,45.339344416267494,3
m_3901,9200.0,16,3.6095749521969274,0.3103254454181959,38.762910798122064,1
m_3908,10800.0,21,3.742456808711771,0.2729245080669636,43.765765765765764,5
m_3913,10400.0,15,3.592721587776811,0.3767107410775817,38.78778550148957,4
m_3916,3600.0,9,3.502775348279889,0.4160632802197158,36.255531623262186,0
m_3932,9200.0,23,3.7196692772509645,0.26957857321590023,42.772261094603664,1
m_3941,13000.0,27,3.6510064964746936,0.3107641510623552,40.38318766571737,7
m_3947,12800.0,30,3.5124542372346137,0.3935605186081447,36.40961462058006,7
m_3959,9200.0,14,3.539426977741739,0.33246005208639856,36.385714285714286,1
m_3961,4000.0,9,3.524338288398694,0.3417577574745452,35.96474667694086,0
m_3965,4000.0,8,3.5117430314941966,0.3899391726776148,36.06701080202657,0
m_3989,12800.0,30,3.886281015813806,0.22597285686978352,49.98359375,7
m_4000,11600.0,26,3.6978812587466856,0.31696909176182775,42.43999218139171,5
m_4003,12400.0,29,3.729960118483185,0.28161590372921613,43.33037124802528,6
m_4019,13200.0,24,3.75873045797632,0.27758599075285456,44.546082949308754,7
m_5,10400.0,22,3.7308652240040545,0.29336369613671043,43.53081822635963,4
m_12,4400.0,10,1.4419417461641715,0.19515910908712436,4.3094769956744,0
m_22,13200.0,29,3.7339766848185993,0.2795839832630622,43.477751081210954,7
m_36,9600.0,24,3.5637555575559574,0.3488367674034799,37.49786739046142,2
m_37,10400.0,21,3.703026206290155,0.33547873600284184,42.89104534973097,4
m_38,12400.0,30,3.5797046919479225,0.34138505045627204,37.98825052275217,6
m_41,3600.0,9,3.462341970114445,0.3826794961901271,34.267360779444076,0
m_44,13600.0,32,3.6547464826676834,0.3263697419532466,40.779356335169616,8
m_88,10800.0,23,4.028611732881439,0.16356714314660248,56.930405019965775,5
m_91,10400.0,19,3.7017249613297456,0.32134304921554085,42.6799885812161,4
m_93,10000.0,17,3.721451017050277,0.29987252352883953,43.22812888421455,3
m_100,11600.0,22,3.61816285801173,0.3362355517841571,39.480442512840774,5
m_111,9200.0,19,3.692472188277328,0.2795149907869232,41.75792561748841,1
m_117,3600.0,9,3.4766797075418876,0.3673022075970383,34.57433155080214,0
m_131,9600.0,19,3.7720167901748107,0.2753604836772009,45.0975126350213,2
m_143,13200.0,32,3.7449536643418226,0.29436785928562836,44.14835689721055,7
m_145,9500.0,17,3.6078968261152564,0.3819283620716221,39.742733397497595,2
m_149,13200.0,33,3.6404943811498605,0.32555698401935507,40.2110914105595,7
m_150,10400.0,22,3.909637384280218,0.2103806976617852,50.9693359375,4
m_155,9700.0,20,3.403402545960507,0.382588812111783,32.36731663862219,3
m_162,9200.0,16,3.706881043809918,0.33355348239912336,43.10794456373219,1
m_163,13200.0,32,3.7527791684611747,0.2475623999394733,43.94801907913949,7
m_164,9600.0,21,3.9337341715064715,0.19862423628486373,52.06936132640047,2
m_174,12800.0,29,3.6228555514847343,0.3227539311800081,39.430961933653,7
m_179,8800.0,14,3.836741486259306,0.22713187385403602,47.550701402805615,1
m_202,12800.0,31,3.807353323133281,0.257915791254767,46.52169411764706,7
m_204,11200.0,17,3.552902036287203,0.38299034869902837,37.45758432639871,5
m_221,9600.0,14,3.913347583569198,0.2911491221511629,52.03955938697318,2
m_223,9200.0,16,3.6742140158339684,0.33483055778257864,41.68813559322034,1
